Flow ID,Source IP,Src Port,Destination IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Label
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.009000,918038,0,38557596,0,0,0,0,0,879480.00,20940.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.008000,925840,0,38885280,0,0,0,0,0,459900.00,10950.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.008000,926925,0,38930850,0,0,0,0,0,455700.00,10850.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.006000,920143,0,38646006,0,0,0,0,0,884100.00,21050.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.007000,922333,0,38737986,0,0,0,0,0,919800.00,21900.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.000000,924503,0,38829126,0,0,0,0,0,911400.00,21700.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.000000,925826,0,38884692,0,0,0,0,0,555660.00,13230.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.138000,926756,0,38923752,0,0,0,0,0,156250.73,3720.26,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 21:13:33,0.364000,231128,0,9707376,0,0,0,0,0,16723004.22,398166.77,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 21:21:44,0.750000,404304,0,16980768,0,0,0,0,0,11895137.50,283217.56,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 15:22:21,0.004000,545784,0,22922928,0,0,0,0,0,118726020.00,2826810.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 15:22:21,0.003000,1114501,0,46809042,0,0,0,0,0,120198120.00,2861860.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 15:22:21,0.000000,1404292,0,58980264,0,0,0,0,0,121712220.00,2897910.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,20/01/2026 15:22:22,0.849000,1440608,0,60505536,0,0,0,0,0,1682667.87,40063.52,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 15:22:52,0.265000,261828,0,14138712,0,0,0,0,0,20311384.75,376136.75,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 15:23:09,0.000000,251079,0,13558266,0,0,0,0,0,14814416.49,274341.05,0,0,0,DDoS
10.0.0.3-10.0.0.4-6-0-0,10.0.0.3,0,10.0.0.4,0,6,20/01/2026 15:23:10,0.004000,271480,0,14659920,0,0,0,0,0,1612133.12,29854.32,0,0,0,DDoS
