Timestamp,SrcIP,DstIP,Proto,PPS,AI_Prob_Normal,AI_Prob_Attack,Verdict,Action,Reason
2026-01-22 19:04:06,10.0.0.5,10.0.0.6,17,94,0.75,0.25,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:04:07,10.0.0.5,10.0.0.6,17,103,0.75,0.25,WARNING,ALERT,Elevated Traffic (102 pps)
2026-01-22 19:04:08,10.0.0.5,10.0.0.6,17,98,0.75,0.25,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:04:09,10.0.0.5,10.0.0.6,17,95,0.75,0.25,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:04:10,10.0.0.5,10.0.0.6,17,101,0.75,0.25,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:04:11,10.0.0.5,10.0.0.6,17,97,0.75,0.25,WARNING,ALERT,Elevated Traffic (96 pps)
2026-01-22 19:04:12,10.0.0.5,10.0.0.6,17,97,0.75,0.25,WARNING,ALERT,Elevated Traffic (96 pps)
2026-01-22 19:13:18,10.0.0.5,10.0.0.6,17,94,0.90,0.10,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:13:21,10.0.0.5,10.0.0.6,17,97,1.00,0.00,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:13:22,10.0.0.5,10.0.0.6,17,94,1.00,0.00,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:13:23,10.0.0.5,10.0.0.6,17,100,0.95,0.05,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:13:24,10.0.0.5,10.0.0.6,17,92,0.95,0.05,WARNING,MONITOR,Elevated Traffic (91 pps)
2026-01-22 19:13:25,10.0.0.5,10.0.0.6,17,104,0.95,0.05,WARNING,MONITOR,Elevated Traffic (104 pps)
2026-01-22 19:13:26,10.0.0.5,10.0.0.6,17,99,0.95,0.05,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:27,10.0.0.5,10.0.0.6,17,92,0.95,0.05,WARNING,MONITOR,Elevated Traffic (91 pps)
2026-01-22 19:13:28,10.0.0.5,10.0.0.6,17,102,0.95,0.05,WARNING,MONITOR,Elevated Traffic (102 pps)
2026-01-22 19:13:29,10.0.0.5,10.0.0.6,17,95,0.95,0.05,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:13:30,10.0.0.5,10.0.0.6,17,99,0.95,0.05,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:31,10.0.0.5,10.0.0.6,17,99,0.95,0.05,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:32,10.0.0.5,10.0.0.6,17,94,0.95,0.05,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:13:33,10.0.0.5,10.0.0.6,17,101,0.95,0.05,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:13:34,10.0.0.5,10.0.0.6,17,99,0.95,0.05,WARNING,MONITOR,Elevated Traffic (99 pps)
2026-01-22 19:13:35,10.0.0.5,10.0.0.6,17,94,0.95,0.05,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:13:36,10.0.0.5,10.0.0.6,17,101,0.95,0.05,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:13:37,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,MONITOR,Elevated Traffic (98 pps)
2026-01-22 19:13:38,10.0.0.5,10.0.0.6,17,93,0.95,0.05,WARNING,MONITOR,Elevated Traffic (92 pps)
2026-01-22 19:13:39,10.0.0.5,10.0.0.6,17,102,0.95,0.05,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:13:40,10.0.0.5,10.0.0.6,17,97,0.85,0.15,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:13:41,10.0.0.5,10.0.0.6,17,94,0.85,0.15,WARNING,MONITOR,Elevated Traffic (93 pps)
